blk_no,street,road_name,address,latiude,longtitude,postal
101B,PUNGGOL FIELD,PUNGGOL FIELD,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101,1.397847151,103.9064361,822101
101B,PUNGGOL FIELD,PUNGGOL FIELD,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101,1.397847151,103.9064361,822101
101,PUNGGOL FIELD,PUNGGOL FIELD,101 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820101,1.398481661,103.9058081,820101
101A,PUNGGOL FIELD,PUNGGOL FIELD,101A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821101,1.397946168,103.9059451,821101
101C,PUNGGOL FIELD,PUNGGOL FIELD,101C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823101,1.398090458,103.9065693,823101
101D,PUNGGOL FIELD,PUNGGOL FIELD,101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101,1.398484785,103.9061439,824101
102,PUNGGOL FIELD,PUNGGOL FIELD,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102,1.398833183,103.9057836,821102
102A,PUNGGOL FIELD,PUNGGOL FIELD,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102,1.398833183,103.9057836,821102
102B,PUNGGOL FIELD,PUNGGOL FIELD,102B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822102,1.399085258,103.9054714,822102
102C,PUNGGOL FIELD,PUNGGOL FIELD,102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102,1.398761278,103.904939,823102
102D,PUNGGOL FIELD,PUNGGOL FIELD,102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102,1.398480708,103.9052498,824102
103,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103A EDGEFIELD PLAINS SINGAPORE 821103,1.398255318,103.904754,821103
103A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103A EDGEFIELD PLAINS SINGAPORE 821103,1.398255318,103.904754,821103
103B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103B EDGEFIELD PLAINS SINGAPORE 822103,1.397731275,103.9046854,822103
103C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103C EDGEFIELD PLAINS SINGAPORE 823103,1.397266608,103.9045384,823103
104A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,104A EDGEFIELD PLAINS SINGAPORE 821104,1.396805705,103.9050542,821104
104B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,104B EDGEFIELD PLAINS SINGAPORE 822104,1.396608862,103.9053038,822104
105,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105 EDGEFIELD PLAINS MULTI STOREY CAR PARK SINGAPORE 820105,1.397229386,103.9055909,820105
105A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105A EDGEFIELD PLAINS SINGAPORE 821105,1.396941332,103.9057295,821105
105B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105B EDGEFIELD PLAINS SINGAPORE 822105,1.397206464,103.9060023,822105
105C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105C EDGEFIELD PLAINS SINGAPORE 823105,1.397672035,103.9055988,823105
105D,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105D EDGEFIELD PLAINS SINGAPORE 824105,1.397175309,103.9052296,824105
106,PUNGGOL FIELD,PUNGGOL FIELD,106 PUNGGOL FIELD SINGAPORE 820106,1.396391853,103.9082918,820106
106A,PUNGGOL FIELD,PUNGGOL FIELD,106A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821106,1.396604861,103.9083441,821106
106B,PUNGGOL FIELD,PUNGGOL FIELD,106B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822106,1.397094532,103.9079554,822106
106C,PUNGGOL FIELD,PUNGGOL FIELD,106C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823106,1.397366642,103.9075622,823106
106D,PUNGGOL FIELD,PUNGGOL FIELD,106D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824106,1.397626067,103.9073581,824106
107,PUNGGOL FIELD,PUNGGOL FIELD,107 PUNGGOL FIELD SINGAPORE 820107,1.396934565,103.9077067,820107
107A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107A EDGEFIELD PLAINS SINGAPORE 821107,1.397198794,103.9068258,821107
107B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107B EDGEFIELD PLAINS SINGAPORE 822107,1.396837235,103.9072482,822107
107C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107C EDGEFIELD PLAINS SINGAPORE 823107,1.396621521,103.9076007,823107
107D,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107D EDGEFIELD PLAINS SINGAPORE 824107,1.396238035,103.9080073,824107
108,PUNGGOL FIELD,PUNGGOL FIELD,108 PUNGGOL FIELD SINGAPORE 820108,1.396498616,103.9088663,820108
109,PUNGGOL FIELD,PUNGGOL FIELD,109 PUNGGOL FIELD SINGAPORE 820109,1.395438127,103.9095324,820109
109A,EDGEDALE PLAINS,EDGEDALE PLAINS,109A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821109,1.394721864,103.9098738,821109
109B,EDGEDALE PLAINS,EDGEDALE PLAINS,109B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822109,1.394956962,103.9096342,822109
109C,EDGEDALE PLAINS,EDGEDALE PLAINS,109C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823109,1.39517272,103.9092816,823109
109D,EDGEDALE PLAINS,EDGEDALE PLAINS,109D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824109,1.395529913,103.9088596,824109
110,PUNGGOL FIELD,PUNGGOL FIELD,110 PUNGGOL FIELD SINGAPORE 820110,1.395908522,103.9088823,820110
110A,PUNGGOL FIELD,PUNGGOL FIELD,110A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821110,1.396124003,103.9092837,821110
110B,PUNGGOL FIELD,PUNGGOL FIELD,110B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822110,1.395660239,103.909627,822110
110C,PUNGGOL FIELD,PUNGGOL FIELD,110C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823110,1.395397332,103.910034,823110
110D,PUNGGOL FIELD,PUNGGOL FIELD,110D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824110,1.395000712,103.910206,824110
111,EDGEFIELD PLAINS,EDGEFIELD PLAINS,111 EDGEFIELD PLAINS SINGAPORE 820111,1.396677886,103.9065791,820111
112,EDGEFIELD PLAINS,EDGEFIELD PLAINS,112 EDGEFIELD PLAINS SINGAPORE 820112,1.396245169,103.9070873,820112
113,EDGEFIELD PLAINS,EDGEFIELD PLAINS,113 EDGEFIELD PLAINS SINGAPORE 820113,1.396011592,103.9071815,820113
114,EDGEFIELD PLAINS,EDGEFIELD PLAINS,114 EDGEFIELD PLAINS SINGAPORE 820114,1.395799718,103.9075556,820114
115,EDGEFIELD PLAINS,EDGEFIELD PLAINS,115 EDGEFIELD PLAINS SINGAPORE 820115,1.395128547,103.9072584,820115
116,EDGEFIELD PLAINS,EDGEFIELD PLAINS,116 EDGEFIELD PLAINS SINGAPORE 820116,1.39541568,103.9069122,820116
117,EDGEFIELD PLAINS,EDGEFIELD PLAINS,117 EDGEFIELD PLAINS SINGAPORE 820117,1.395787352,103.9066178,820117
118,EDGEFIELD PLAINS,EDGEFIELD PLAINS,118 EDGEFIELD PLAINS SINGAPORE 820118,1.396207066,103.9061471,820118
119,EDGEFIELD PLAINS,EDGEFIELD PLAINS,119 EDGEFIELD PLAINS MULTI STOREY CAR PARK SINGAPORE 820119,1.395453225,103.9065145,820119
120,EDGEDALE PLAINS,EDGEDALE PLAINS,120A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821120,1.394512179,103.9079643,821120
120A,EDGEDALE PLAINS,EDGEDALE PLAINS,120A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821120,1.394512179,103.9079643,821120
120B,EDGEDALE PLAINS,EDGEDALE PLAINS,120B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822120,1.394837781,103.9075847,822120
121,EDGEDALE PLAINS,EDGEDALE PLAINS,121 EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 820121,1.393682194,103.9082995,820121
121A,EDGEDALE PLAINS,EDGEDALE PLAINS,121A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821121,1.394002346,103.9086283,821121
121B,EDGEDALE PLAINS,EDGEDALE PLAINS,121B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822121,1.393088703,103.9090418,822121
122,EDGEDALE PLAINS,EDGEDALE PLAINS,122B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822122,1.394150091,103.909596,822122
122A,EDGEDALE PLAINS,EDGEDALE PLAINS,122A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821122,1.393509812,103.9091066,821122
122B,EDGEDALE PLAINS,EDGEDALE PLAINS,122B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822122,1.394150091,103.909596,822122
614,EDGEFIELD PLAINS,EDGEFIELD PLAINS,614 EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 820614,1.403314508,103.9096798,820614
614A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,614A EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 821614,1.403584212,103.9092641,821614
614B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,614B EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 822614,1.402903237,103.9100575,822614
615,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615A EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 821615,1.403860564,103.909541,821615
615A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615A EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 821615,1.403860564,103.909541,821615
615B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615B EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 822615,1.403745882,103.9098829,822615
615C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615C EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 823615,1.403558837,103.9101535,823615
125,EDGEDALE PLAINS,EDGEDALE PLAINS,125 EDGEDALE PLAINS SINGAPORE 820125,1.393926881,103.9113702,820125
126,EDGEDALE PLAINS,EDGEDALE PLAINS,126 EDGEDALE PLAINS MULTI STOREY CAR PARK SINGAPORE 820126,1.394272718,103.9109218,820126
126A,EDGEDALE PLAINS,EDGEDALE PLAINS,126A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821126,1.39410055,103.9113562,821126
126B,EDGEDALE PLAINS,EDGEDALE PLAINS,126B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822126,1.394548891,103.9111062,822126
126C,EDGEDALE PLAINS,EDGEDALE PLAINS,126C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823126,1.393970531,103.9106636,823126
126D,EDGEDALE PLAINS,EDGEDALE PLAINS,126D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824126,1.393783889,103.9109815,824126
129,EDGEDALE PLAINS,EDGEDALE PLAINS,129 EDGEDALE PLAINS SINGAPORE 820129,1.393162798,103.9103822,820129
130,EDGEDALE PLAINS,EDGEDALE PLAINS,130 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820130,1.393172994,103.9100553,820130
131,EDGEDALE PLAINS,EDGEDALE PLAINS,131 EDGEDALE PLAINS MULTI STOREY CAR PARK SINGAPORE 820131,1.393599214,103.9103808,820131
132,EDGEDALE PLAINS,EDGEDALE PLAINS,132 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820132,1.393069499,103.9106985,820132
133,EDGEDALE PLAINS,EDGEDALE PLAINS,133 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820133,1.392831554,103.9106201,820133
134,EDGEDALE PLAINS,EDGEDALE PLAINS,134 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820134,1.392335405,103.9101808,820134
135,EDGEDALE PLAINS,EDGEDALE PLAINS,135 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820135,1.392092062,103.9100225,820135
136,EDGEDALE PLAINS,EDGEDALE PLAINS,136 EDGEDALE PLAINS SINGAPORE 820136,1.39174363,103.9098125,820136
137,EDGEDALE PLAINS,EDGEDALE PLAINS,137 EDGEDALE PLAINS MULTI STOREY CAR PARK SINGAPORE 820137,1.3923882,103.9093911,820137
138,EDGEDALE PLAINS,EDGEDALE PLAINS,138 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820138,1.392771159,103.9097962,820138
658,PUNGGOL EAST,PUNGGOL EAST,658A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821658,1.400175685,103.9197201,821658
658A,PUNGGOL EAST,PUNGGOL EAST,658A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821658,1.400175685,103.9197201,821658
658B,PUNGGOL EAST,PUNGGOL EAST,658B PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 822658,1.400212828,103.9190528,822658
658C,PUNGGOL EAST,PUNGGOL EAST,658C PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 823658,1.400549817,103.9186502,823658
659,PUNGGOL EAST,PUNGGOL EAST,659 PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 820659,1.401021619,103.9195784,820659
659A,PUNGGOL EAST,PUNGGOL EAST,659A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821659,1.400527833,103.9197574,821659
659B,PUNGGOL EAST,PUNGGOL EAST,659B PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 822659,1.400746549,103.9191493,822659
659C,PUNGGOL EAST,PUNGGOL EAST,659C PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 823659,1.401225385,103.9191307,823659
659D,PUNGGOL EAST,PUNGGOL EAST,659D PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 824659,1.400929148,103.9188836,824659
660,EDGEDALE PLAINS,EDGEDALE PLAINS,660 EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 820660,1.402857184,103.9167749,820660
660A,EDGEDALE PLAINS,EDGEDALE PLAINS,660A EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 821660,1.402621973,103.9165196,821660
661,EDGEDALE PLAINS,EDGEDALE PLAINS,661 EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 820661,1.402362738,103.9176456,820661
661A,EDGEDALE PLAINS,EDGEDALE PLAINS,661A EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 821661,1.403030566,103.9170807,821661
661B,EDGEDALE PLAINS,EDGEDALE PLAINS,661B EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 822661,1.402485648,103.9167514,822661
661C,EDGEDALE PLAINS,EDGEDALE PLAINS,661C EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 823661,1.402071587,103.91748,823661
662,EDGEDALE PLAINS,EDGEDALE PLAINS,662B EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 822662,1.401721537,103.918691,822662
662A,EDGEDALE PLAINS,EDGEDALE PLAINS,662A EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 821662,1.402004486,103.9183264,821662
662B,EDGEDALE PLAINS,EDGEDALE PLAINS,662B EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 822662,1.401721537,103.918691,822662
662C,EDGEDALE PLAINS,EDGEDALE PLAINS,662C EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 823662,1.401391816,103.9185139,823662
662D,EDGEDALE PLAINS,EDGEDALE PLAINS,662D EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 824662,1.40167256,103.9180028,824662
668,EDGEFIELD PLAINS,EDGEFIELD PLAINS,668 EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 820668,1.405107594,103.9130724,820668
668A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,668A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821668,1.405018801,103.9124119,821668
668B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,668B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822668,1.404782919,103.9129785,822668
669,EDGEFIELD PLAINS,EDGEFIELD PLAINS,669 EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 820669,1.4052044,103.913815,820669
669A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,669A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821669,1.404909749,103.9139695,821669
669B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,669B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822669,1.404536069,103.9140128,822669
670,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670 EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 820670,1.405822436,103.9132458,820670
670A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821670,1.405383412,103.9129608,821670
670B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822670,1.40532418,103.9132807,822670
670C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670C EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 823670,1.405342858,103.9139333,823670
671,EDGEFIELD PLAINS,EDGEFIELD PLAINS,671B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822671,1.406191183,103.9116993,822671
671A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,671A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821671,1.406059242,103.9120207,821671
671B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,671B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822671,1.406191183,103.9116993,822671
672,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672 EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 820672,1.40706369,103.9117556,820672
672A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821672,1.406414151,103.9126204,821672
672B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822672,1.40665275,103.9123125,822672
672C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823672,1.407437024,103.9111965,823672
672D,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672D EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 824672,1.407590312,103.9109236,824672
673,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821673,1.406676726,103.9116133,821673
673A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821673,1.406676726,103.9116133,821673
673B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822673,1.406977629,103.9110415,822673
673C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823673,1.407221594,103.9105919,823673
674,EDGEFIELD PLAINS,EDGEFIELD PLAINS,674 EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 820674,1.407213715,103.9103675,820674
167,PUNGGOL EAST,PUNGGOL EAST,167C PUNGGOL EAST THE SUNDIAL SINGAPORE 823167,1.394388962,103.9147524,823167
167A,PUNGGOL EAST,PUNGGOL EAST,167A PUNGGOL EAST THE SUNDIAL SINGAPORE 821167,1.393908248,103.9151069,821167
167B,PUNGGOL EAST,PUNGGOL EAST,167B PUNGGOL EAST THE SUNDIAL SINGAPORE 822167,1.394227136,103.9149774,822167
167C,PUNGGOL EAST,PUNGGOL EAST,167C PUNGGOL EAST THE SUNDIAL SINGAPORE 823167,1.394388962,103.9147524,823167
167D,PUNGGOL EAST,PUNGGOL EAST,167D PUNGGOL EAST THE SUNDIAL SINGAPORE 824167,1.394548399,103.9145293,824167
168,PUNGGOL FIELD,PUNGGOL FIELD,168C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823168,1.393903151,103.9137768,823168
168A,PUNGGOL EAST,PUNGGOL EAST,168A PUNGGOL EAST THE SUNDIAL SINGAPORE 821168,1.394589169,103.9142388,821168
168B,PUNGGOL EAST,PUNGGOL EAST,168B PUNGGOL EAST THE SUNDIAL SINGAPORE 822168,1.394496029,103.913979,822168
682,EDGEDALE PLAINS,EDGEDALE PLAINS,682 EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 820682,1.404032793,103.9157938,820682
682A,EDGEDALE PLAINS,EDGEDALE PLAINS,682A EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 821682,1.403547749,103.9162913,821682
682B,EDGEDALE PLAINS,EDGEDALE PLAINS,682B EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 822682,1.403411731,103.915952,822682
682C,EDGEDALE PLAINS,EDGEDALE PLAINS,682C EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 823682,1.403619895,103.9155247,823682
683,EDGEDALE PLAINS,EDGEDALE PLAINS,683 EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 820683,1.404152091,103.9151881,820683
683A,EDGEDALE PLAINS,EDGEDALE PLAINS,683A EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 821683,1.404263444,103.9153714,821683
683B,EDGEDALE PLAINS,EDGEDALE PLAINS,683B EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 822683,1.404701058,103.9149881,822683
683C,EDGEDALE PLAINS,EDGEDALE PLAINS,683C EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 823683,1.404073549,103.9146487,823683
684,EDGEDALE PLAINS,EDGEDALE PLAINS,684 EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 820684,1.403144479,103.9160658,820684
684A,EDGEDALE PLAINS,EDGEDALE PLAINS,684A EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 821684,1.402793795,103.9158786,821684
